产品名称(必填),产品类型(必填),产品类别(必填),点位功能类型(必填),点位名称(必填),标识符(必填),PLC数据起始地址(必填),PLC数据类型(必填),读写类型(必填),值范围（必填）,信号单位(必填),数据类型(必填),描述
productname,devType,category,devicetype,name,identifier,address,originaltype,accessMode,min-max,unit,type,specs
卸船机,s71500,dgiot,开闭机构,闭斗允许,DB200.DBX58.0,DB200.DBX58.0,bool,只读,-131070,null,enum,1:允许;0:无
卸船机,s71500,dgiot,开闭机构,开斗允许,DB200.DBX58.1,DB200.DBX58.1,bool,只读,-131070,null,enum,1:允许;0:无
卸船机,s71500,dgiot,小车机构,小车位置,DB200.DBD60,DB200.DBD60,float,只读,-131070,M,float,null
卸船机,s71500,dgiot,小车机构,小车电流,DB200.DBW64,DB200.DBW64,ushort,只读,-131070,null,float,null
卸船机,s71500,dgiot,小车机构,小车转速,DB200.DBW66,DB200.DBW66,ushort,只读,-131070,null,float,null
卸船机,s71500,dgiot,小车机构,小车温度,DB200.DBD68,DB200.DBD68,float,只读,-131070,null,float,null
卸船机,s71500,dgiot,小车机构,江侧运行允许,DB200.DBX72.0,DB200.DBX72.0,bool,只读,-131070,null,enum,1:允许;0:无
卸船机,s71500,dgiot,小车机构,岸侧运行允许,DB200.DBX72.1,DB200.DBX72.1,bool,只读,-131070,null,enum,1:允许;0:无
卸船机,s71500,dgiot,变幅机构,变幅角度,DB200.DBD74,DB200.DBD74,float,只读,-131070,null,float,null
卸船机,s71500,dgiot,变幅机构,变幅电流,DB200.DBW78,DB200.DBW78,ushort,只读,-131070,null,float,null
卸船机,s71500,dgiot,变幅机构,变幅转速,DB200.DBW80,DB200.DBW80,ushort,只读,-131070,null,float,null
卸船机,s71500,dgiot,变幅机构,变幅温度,DB200.DBD82,DB200.DBD82,float,只读,-131070,null,float,null
卸船机,s71500,dgiot,变幅机构,抬起允许,DB200.DBX86.0,DB200.DBX86.0,bool,只读,-131070,null,enum,1:允许;0:无
卸船机,s71500,dgiot,变幅机构,放下允许,DB200.DBX86.1,DB200.DBX86.1,bool,只读,-131070,null,enum,1:允许;0:无
卸船机,s71500,dgiot,大车机构,大车1电流,DB200.DBW88,DB200.DBW88,ushort,只读,-131070,null,float,null
卸船机,s71500,dgiot,大车机构,大车1转速,DB200.DBW90,DB200.DBW90,ushort,只读,-131070,null,float,null
